,시군구,소멸지수,병상 비율,병원,보건지소,약국,요양병원,인구 수,종합병원,고등학교,보육시설 비율,유치원,중학교,초등학교,전규모W,1인당 자동차 등록대수,소규모C,중규모C,대규모C,소규모W,중규모W,대규모W
128,경상북도 상주시,0.18,15.5,1,18,43,2,94823,2,18.36,13.9,13.82,17.97,13.39,22493,0.6126,4133,148,8,18948,10565,10731
129,경상북도 문경시,0.21,14.9,1,9,43,1,70373,1,18.63,17.9,14.06,18.21,14.25,16699,0.5659,17786,786,23,92620,52873,14205
130,경상북도 경산시,0.58,14.6,6,8,114,10,267725,1,23.18,15.7,17.71,23.31,21.72,87918,0.5543,8339,426,20,45462,29336,11609
131,경상북도 의성군,0.1,24.5,2,17,21,5,50186,0,16.65,13.3,4.71,12.7,10.09,9336,0.6828,10121,391,18,47988,27837,11477
132,경상북도 청송군,0.11,13.1,0,6,11,0,24295,0,14.94,19.1,11,9.41,10.04,6674,0.6905,17387,378,11,81119,25262,7388
133,경상북도 영양군,0.12,3.1,1,5,3,0,16022,0,15.39,16.4,5.67,14.59,8.57,2912,0.6519,6821,275,6,33545,17245,4736
134,경상북도 영덕군,0.13,9.9,1,8,22,2,34650,0,15.42,15.1,5.38,13.37,12.49,7050,0.5811,11418,487,18,57309,31717,9638
135,경상북도 청도군,0.12,30.2,2,8,17,5,41614,0,20.15,14.7,10.26,16.2,11.64,8400,0.6579,7872,272,9,36625,19165,6655
136,경상북도 고령군,0.16,6.5,1,7,11,1,30353,0,18.17,21.3,8.75,14.66,12.81,15442,0.7332,7308,288,19,35009,22834,15344
137,경상북도 성주군,0.15,18.7,1,9,16,4,42566,0,19.08,11.5,7.73,12.91,9.57,16601,0.7933,6603,215,14,30720,15320,8751
138,경상북도 칠곡군,0.48,15.9,1,7,44,4,112487,0,22.27,24.4,15.64,21.26,19.03,50445,0.6582,14778,591,26,73100,39457,17371
139,경상북도 예천군,0.23,11.8,1,10,18,2,55755,0,19.89,17.5,14.56,12.61,16.15,9177,0.5886,14264,645,57,73356,45758,40442
140,경상북도 봉화군,0.11,8,1,9,11,1,30139,0,20.44,17.8,8.78,13.5,8.7,6950,0.6318,6913,329,18,32747,21721,14573
141,경상북도 울진군,0.22,7.3,1,9,19,2,47030,0,18.48,13.4,9.5,16.54,14.84,12573,0.6014,13026,547,18,66663,34500,16761
142,경상북도 울릉군,0.23,7,0,2,2,1,8996,0,8,5.8,10.5,15.71,9.71,2209,0.744,7241,349,15,35676,25273,11773
143,경상남도 진주시,0.56,19.7,14,12,171,7,343782,3,21,17.6,17.79,24.96,20.62,97772,0.5246,6392,286,6,32788,19573,3751
144,경상남도 통영시,0.32,15.1,5,3,59,3,122681,1,24.54,18.3,14.07,23.37,19.2,27373,0.4507,6386,253,21,32025,16603,14612
145,경상남도 사천시,0.31,27.5,4,7,52,5,109369,0,21.32,21.9,12.45,23.1,18.96,41425,0.5595,5231,358,13,25622,25410,7043
146,경상남도 김해시,0.78,20.3,23,7,193,31,535129,5,24.97,19.8,19.33,26.04,21.57,189552,0.5556,8041,309,16,37999,21232,9676
147,경상남도 밀양시,0.21,20.3,7,9,45,4,102945,0,20.77,19.6,14.09,21.03,15.93,29080,0.6097,13675,619,28,65984,42537,17443
148,경상남도 거제시,0.66,9.7,6,10,83,2,236662,3,25.38,18.7,17.23,25.26,21.14,76642,0.4731,5426,195,6,25369,13978,2634
149,경상남도 양산시,0.64,22.5,10,6,142,13,353792,2,30.4,19.7,18.51,26.49,21.66,122417,0.5319,12860,338,11,63583,21506,6703
150,경상남도 의령군,0.13,18.4,1,11,11,1,26061,0,15.83,11.9,11.33,14.35,7.64,6420,0.6271,8446,448,10,43410,30973,8953
151,경상남도 함안군,0.22,25,3,6,26,3,61456,0,21.13,26.3,12.53,20.59,14.86,34369,1.314,3363,135,7,14859,8324,9609
152,경상남도 창녕군,0.16,39.9,2,13,29,7,58372,0,17.7,15,11,17.73,13.04,19455,0.6425,5578,184,8,24971,13296,3706
153,경상남도 고성군,0.16,19.2,2,13,16,2,50448,0,19.49,18.9,6.95,17.98,11.36,13552,0.5711,7439,321,9,35176,21018,6379
154,경상남도 남해군,0.12,7.3,1,9,19,1,41579,0,17,14.7,10.07,17.36,10.68,9533,0.5188,3730,119,10,17756,7810,6410
155,경상남도 하동군,0.13,13.2,0,12,16,2,42465,0,14.64,16,7.63,15.85,8.72,9059,0.591,6175,257,9,28641,18935,4423
156,경상남도 산청군,0.12,6.7,0,9,15,1,34028,0,17.02,15.9,8.5,16.34,8.41,8229,0.6587,13856,501,24,68220,33510,12512
157,경상남도 함양군,0.15,4.3,1,10,19,0,37708,0,16.48,14,11.35,17.27,10.49,7456,0.5603,10910,390,27,53540,27456,14816
158,경상남도 거창군,0.23,13.7,3,11,33,3,60387,0,19.6,17.3,12.63,21.03,14.92,13979,0.5887,12962,650,34,63934,45417,21954
159,경상남도 합천군,0.11,19.1,1,16,17,2,42142,0,14.25,15.1,9.05,13.72,8.16,8971,0.6018,2724,279,13,13360,20548,28436
160,제주특별자치도 제주시,0.7,9.4,5,6,240,11,493389,5,26.24,16.2,20.45,25.82,22.16,154945,0.0514,5776,308,14,29400,21452,39031
161,제주특별자치도 서귀포시,0.43,3,3,5,74,0,184770,1,23.01,17.9,14.74,24.31,18.48,48081,3.2085,7575,477,21,43172,31205,16687
162,경상남도 창원시,0.59,20.6,44,10,431,36,1021487,9,22.15,19.3,18.41,25.24,21.53,339450,0.6581,4958,147,9,21549,9779,5571
