,시군구,소멸지수,1인당 자동차 등록대수,고등학교,대규모C,대규모W,병상 비율,병원,보건지소,보육시설 비율,소규모C,소규모W,약국,요양병원,유치원,전규모W,종합병원,중규모C,중규모W,중학교,초등학교
89,전라북도 남원시,0.23,0.580182597,16.87,0,0,19.2,1,15,23.1,2370,11236,41,4,7.18,15929,1,78,4693,20.13,12.91
90,전라북도 김제시,0.21,0.623578534,17.57,1,620,44.7,4,14,18.8,3283,16136,44,4,8.84,28128,0,168,11372,19.39,10.89
91,전라북도 완주군,0.36,0.640232247,16.92,3,6781,21.1,2,12,22.5,3604,18463,42,6,11.76,43742,0,225,18498,19.53,13.99
92,전라북도 진안군,0.15,0.631391784,15.61,0,0,10.7,2,10,10.5,824,3711,9,0,6.63,4889,0,20,1178,10.7,7.73
93,전라북도 무주군,0.16,0.617091738,16.78,0,0,2.5,0,5,13.9,896,3964,13,0,6.57,5737,0,25,1773,15.71,10.91
94,전라북도 장수군,0.15,0.619596816,16.19,0,0,1.8,0,5,15.2,649,3218,9,0,6.69,4343,0,25,1125,12.71,9.92
95,전라북도 임실군,0.15,0.605023887,16.35,2,2018,16,1,11,12.3,966,4653,14,1,5.87,9176,0,32,2505,11.78,7.71
96,전라북도 순창군,0.17,0.600358691,18.91,0,0,26.2,1,10,14.5,817,3822,13,2,7.57,5210,0,25,1388,15.97,8.11
97,전라북도 고창군,0.16,0.633082126,17.15,1,750,20,1,12,17.8,1778,8013,24,5,9.44,12035,1,50,3272,15.78,10.44
98,전라북도 부안군,0.17,0.595868827,16.14,1,662,19.1,4,11,16.3,1741,8017,30,2,10.07,11970,1,58,3291,15.13,10.51
99,전라남도 목포시,0.52,0.487270961,21.29,2,1559,34.4,17,1,23.1,7167,33595,122,10,14.45,51230,5,232,16076,26.75,20.83
100,전라남도 여수시,0.43,0.536220629,20.59,9,10414,20,7,12,14.4,9781,49363,126,12,14.04,103782,3,563,44005,24.97,18.52
101,전라남도 순천시,0.61,0.554039916,21.46,2,1496,22.8,17,9,17.1,9295,46038,128,7,14.57,74114,6,364,26580,26.15,20.38
102,전라남도 나주시,0.43,0.625880709,18.57,8,7013,33.8,1,13,17.1,4141,21867,54,7,14.72,42363,2,177,13483,18.97,17.78
103,전라남도 광양시,0.68,0.646365268,21.79,7,11351,10.8,3,8,17.6,5617,29371,50,5,12.35,69504,2,343,28782,24.25,18.8
104,전라남도 담양군,0.21,0.678861878,18.6,0,0,37,1,11,14.1,2005,10146,22,6,9.72,15110,0,92,4964,16.73,11.63
105,전라남도 곡성군,0.15,0.619996283,15.63,1,1818,9.8,1,8,24.6,899,4409,15,1,6.53,8422,0,41,2195,19.08,10.47
106,전라남도 구례군,0.15,0.59447232,14.92,0,0,25.3,1,7,16.7,777,3550,11,3,7.13,5263,0,29,1713,14.87,10.45
107,전라남도 고흥군,0.11,0.573478638,16.73,0,0,22,3,16,17.1,1980,9614,32,1,8.67,13182,1,65,3568,13.96,10.27
108,전라남도 보성군,0.12,0.62041607,16.78,0,0,32.2,2,10,17.6,1212,5641,27,3,5.95,8426,0,34,2785,15.02,8.89
109,전라남도 화순군,0.28,0.601168903,21.37,2,2438,68.5,3,12,22.8,2213,11057,33,12,9.25,20333,0,107,6838,19.25,13.63
110,전라남도 장흥군,0.16,0.61393597,15.61,0,0,15.7,2,8,19.6,1329,5806,17,1,8.24,8603,1,44,2797,15.52,10.85
111,전라남도 강진군,0.17,0.632418556,18.02,0,0,14,1,10,20.6,1180,5043,14,1,7.53,6989,0,32,1946,13.96,9.57
112,전라남도 해남군,0.17,1.928424313,16.61,0,0,20.9,1,13,12.6,2249,10673,34,1,11.11,14978,2,59,4305,19.62,12.17
113,전라남도 영암군,0.25,0.723973257,16.93,1,3506,9.9,2,10,25.1,2727,14313,24,1,8.94,29240,0,166,11421,17.09,13.16
114,전라남도 무안군,0.49,0.597479401,24.24,0,0,15,1,8,15.2,2846,13306,38,4,13.89,19453,1,104,6147,24.97,18.18
115,전라남도 함평군,0.14,0.93215908,17.73,0,0,10.5,2,8,21.1,1161,5507,15,1,4.45,7725,0,42,2218,14.49,9.51
116,전라남도 영광군,0.26,0.593468599,16.43,1,1771,22.9,0,8,7,1985,9239,27,1,10.42,14494,2,47,3484,18.88,14.2
117,전라남도 장성군,0.21,0.694097736,19.26,0,0,15.2,2,10,13,1957,11333,16,2,10.74,17556,0,98,6223,18.88,12.5
118,전라남도 완도군,0.17,0.585815055,17.74,0,0,3,1,12,17.5,1725,7615,22,0,9.8,9268,0,33,1653,14.44,11.41
119,전라남도 진도군,0.17,0.632423479,15.78,0,0,6.8,2,6,14.6,1125,4248,14,1,10.45,5215,0,22,967,15.34,10.23
120,전라남도 신안군,0.12,3.257643873,12.62,0,0,10.1,2,16,18.9,1107,5147,11,2,6.47,6873,0,33,1726,9.29,6.55
121,경상북도 포항시,0.44,0.577340665,20.74,10,16290,20.3,10,14,18.1,16108,79802,225,28,16.8,164715,5,833,68623,22.83,21.83
122,경상북도 경주시,0.33,0.618480013,19.21,8,8865,16.1,10,12,16.6,9184,48903,111,11,15.96,92554,1,499,34786,23.02,18.99
123,경상북도 김천시,0.34,0.587485002,20.51,5,4946,14.8,0,15,16,4129,21222,52,3,16.53,41894,2,201,15726,21.25,18.17
124,경상북도 안동시,0.32,0.580900383,19.74,3,2421,33.4,3,14,18.6,4977,24120,65,8,15.87,39411,3,197,12870,22.89,18.92
125,경상북도 구미시,1.02,0.564240726,21.72,28,37829,9.9,4,8,19.8,13360,69502,164,10,18.24,157193,3,683,49862,23.51,22.73
126,경상북도 영주시,0.24,0.591482949,20.52,2,1471,23.6,4,10,17.1,3481,15515,44,4,12.52,24950,1,122,7964,21.33,18.73
127,경상북도 영천시,0.23,0.660908873,19.02,2,2208,20.7,1,11,14.9,3714,20046,44,4,13.79,36902,1,216,14648,18.69,15.89
128,경상북도 상주시,0.18,0.618849752,18.36,2,2309,15.5,1,18,13.9,2815,13378,43,2,13.82,22493,2,107,6806,17.97,13.39
129,경상북도 문경시,0.21,0.579172424,18.63,1,1309,14.9,1,9,17.9,2092,10194,43,1,14.06,16699,1,78,5196,18.21,14.25
130,경상북도 경산시,0.58,0.55748765,23.18,7,9115,14.6,6,8,15.7,9012,48740,114,10,17.71,87918,1,424,30063,23.31,21.72
131,경상북도 의성군,0.1,0.684203171,16.65,0,0,24.5,2,17,13.3,1395,6398,21,5,4.71,9336,0,53,2938,12.7,10.09
132,경상북도 청송군,0.11,0.698447063,14.94,1,2079,13.1,0,6,19.1,719,3479,11,0,11,6674,0,21,1116,9.41,10.04
133,경상북도 영양군,0.12,0.666943362,15.39,0,0,3.1,1,5,16.4,390,1901,3,0,5.67,2912,0,15,1011,14.59,8.57
134,경상북도 영덕군,0.13,0.591278814,15.42,0,0,9.9,1,8,15.1,1217,5157,22,2,5.38,7050,0,38,1893,13.37,12.49
135,경상북도 청도군,0.12,0.662624649,20.15,0,0,30.2,2,8,14.7,1322,6078,17,5,10.26,8400,0,43,2322,16.2,11.64
136,경상북도 고령군,0.16,0.738378845,18.17,0,0,6.5,1,7,21.3,2134,11470,11,1,8.75,15442,0,74,3972,14.66,12.81
137,경상북도 성주군,0.15,0.802380839,19.08,0,0,18.7,1,9,11.5,2386,12435,16,4,7.73,16601,0,75,4166,12.91,9.57
138,경상북도 칠곡군,0.48,0.669590617,22.27,0,2852,15.9,1,7,24.4,6247,33209,44,4,15.64,50445,0,229,14384,21.26,19.03
139,경상북도 예천군,0.23,0.593167646,19.89,0,0,11.8,1,10,17.5,1391,6454,18,2,14.56,9177,0,45,2723,12.61,16.15
140,경상북도 봉화군,0.11,0.643279397,20.44,1,576,8,1,9,17.8,949,4735,11,1,8.78,6950,0,28,1639,13.5,8.7
141,경상북도 울진군,0.22,0.606098267,18.48,1,2737,7.3,1,9,13.4,1621,6953,19,2,9.5,12573,0,47,2883,16.54,14.84
142,경상북도 울릉군,0.23,0.737358158,8,0,0,7,0,2,5.8,544,2175,2,1,10.5,2209,0,1,34,15.71,9.71
143,경상남도 진주시,0.56,0.528729836,21,6,7942,19.7,14,12,17.6,11847,58287,171,7,17.79,97772,3,435,31543,24.96,20.62
144,경상남도 통영시,0.32,0.458644059,24.54,1,670,15.1,5,3,18.3,4140,18623,59,3,14.07,27373,1,135,8080,23.37,19.2
145,경상남도 사천시,0.31,0.561221682,21.32,2,5664,27.5,4,7,21.9,4192,20752,52,5,12.45,41425,0,213,15009,23.1,18.96
146,경상남도 김해시,0.78,0.557106692,24.97,8,7259,20.3,23,7,19.8,23487,122031,193,31,19.33,189552,5,911,60262,26.04,21.57
147,경상남도 밀양시,0.21,0.614846597,20.77,0,0,20.3,7,9,19.6,3337,16907,45,4,14.09,29080,0,203,12173,21.03,15.93
148,경상남도 거제시,0.66,0.478418035,25.38,2,18220,9.7,6,10,18.7,5810,28957,83,2,17.23,76642,3,363,29465,25.26,21.14
149,경상남도 양산시,0.64,0.5299024,30.4,8,11266,22.5,10,6,19.7,12257,64228,142,13,18.51,122417,2,654,46923,26.49,21.66
150,경상남도 의령군,0.13,0.641491658,15.83,0,0,18.4,1,11,11.9,848,4341,11,1,11.33,6420,0,39,2079,14.35,7.64
151,경상남도 함안군,0.22,1.341394947,21.13,0,0,25,3,6,26.3,3929,22255,26,3,12.53,34369,0,182,12114,20.59,14.86
152,경상남도 창녕군,0.16,0.657043253,17.7,1,1209,39.9,2,13,15,2113,11494,29,7,11,19455,0,115,6752,17.73,13.04
153,경상남도 고성군,0.16,0.582437131,19.49,0,0,19.2,2,13,18.9,1590,7787,16,2,6.95,13552,0,80,5765,17.98,11.36
154,경상남도 남해군,0.12,0.528960275,17,0,0,7.3,1,9,14.7,1574,6782,19,1,10.07,9533,0,42,2751,17.36,10.68
155,경상남도 하동군,0.13,0.603206268,14.64,1,695,13.2,0,12,16,1223,5586,16,2,7.63,9059,0,45,2778,15.85,8.72
156,경상남도 산청군,0.12,0.664079166,17.02,0,0,6.7,0,9,15.9,1186,5524,15,1,8.5,8229,0,51,2705,16.34,8.41
157,경상남도 함양군,0.15,0.571877115,16.48,0,0,4.3,1,10,14,1066,5171,19,0,11.35,7456,0,34,2285,17.27,10.49
158,경상남도 거창군,0.23,0.592019585,19.6,0,0,13.7,3,11,17.3,1861,9245,33,3,12.63,13979,0,83,4734,21.03,14.92
159,경상남도 합천군,0.11,0.615489163,14.25,0,0,19.1,1,16,15.1,1157,6067,17,2,9.05,8971,0,57,2904,13.72,8.16
160,제주특별자치도 제주시,0.7,1.205784963,26.24,8,9603,9.4,5,6,16.2,20831,101532,240,11,20.45,154945,5,617,46220,25.82,22.16
161,제주특별자치도 서귀포시,0.43,0.601651434,23.01,3,7193,3,3,5,17.9,6749,31383,74,0,14.74,48081,1,198,14288,24.31,18.48
162,경상남도 창원시,0.59,0.666257366,22.15,40,48692,20.6,44,10,19.3,33519,168296,431,36,18.41,339450,9,1664,122462,25.24,21.53
