,시군구,소멸지수,1인당 자동차 등록대수,고등학교,대규모C,대규모W,병상 비율,병원,보건지소,보육시설 비율,소규모C,소규모W,약국,요양병원,유치원,인구 수,전규모W,종합병원,중규모C,중규모W,중학교,초등학교
77,충청남도 당진시,0.42,0.088412624,1.324096458,-0.730791213,-0.676403618,-0.912436308,-0.158816891,0.806370617,0.364312122,-0.769220353,-0.804760158,-0.044072211,-0.271793939,0.439594636,0.073809185,0.452734054,-0.15140874,-0.841350598,-0.848328306,1.190715578,0.741446665
79,충청남도 부여군,0.15,-0.11063706,-1.038655394,-0.491596498,-0.566131575,0.101570324,-0.58552821,1.633027287,0.621876403,-0.575206103,-0.583837659,-0.521270598,-0.430016839,-0.947841996,-0.572556178,-0.717832286,-0.768399358,-0.708496935,-0.725346019,-0.406723787,-1.183393201
80,충청남도 서천군,0.13,-0.133056659,-0.637433382,-0.491596498,-0.409097411,0.267498682,-0.58552821,0.599706449,1.451805752,-0.581420082,-0.570633886,-0.59865412,-0.271793939,-1.431052685,-0.648104821,-0.595055342,-0.768399358,-0.513123901,-0.537863326,-0.658006383,-1.132255053
81,충청남도 청양군,0.16,0.002066871,-0.708761739,-0.651059641,-0.605837038,-0.912436308,-0.727765316,0.393042282,1.909697807,-0.656505668,-0.675301293,-0.792112926,-0.588239739,-1.541090763,-0.768321089,-0.798375842,-0.768399358,-0.731941699,-0.717453804,-0.933968521,-1.302033702
82,충청남도 홍성군,0.32,-0.125179502,0.251199076,0.225987644,0.004516838,-0.128885729,-0.727765316,0.599706449,-0.093579933,0.588879399,0.568879206,-0.379400807,-0.430016839,0.707513434,-0.354527638,-0.436463183,-0.15140874,0.608317314,0.582093101,0.65674006,0.44484541
83,충청남도 예산군,0.2,0.022971632,0.194730793,-0.491596498,-0.550701016,-0.940091034,-0.443291104,1.013034785,-0.522853734,-0.396726801,-0.395993361,-0.456784329,-0.746462639,-0.567492988,-0.48075533,-0.469711129,-0.15140874,-0.27867626,-0.298201167,-0.002876756,-0.627010158
84,충청남도 태안군,0.17,-0.060041478,-0.741453903,-0.57132807,-0.606307481,-1.032273455,-0.727765316,-0.226950221,0.335693868,-0.554320227,-0.564479003,-0.559962359,-0.746462639,-0.969371185,-0.57870797,-0.61494264,-0.768399358,-0.630347722,-0.67907152,-0.30127484,-0.800879859
86,전라북도 군산시,0.43,-0.222432087,0.905042356,-0.651059641,-0.61411685,0.092352082,0.267894427,1.42636312,0.421548629,-0.662892258,-0.675163754,0.820043788,0.519320562,0.317595898,0.648794232,0.485331143,0.465581877,-0.700682014,-0.716375012,1.098728199,0.647352474
87,전라북도 익산시,0.44,-0.256970389,0.367107657,-0.730791213,-0.676403618,0.202970987,0.267894427,1.42636312,1.137004964,-0.8223844,-0.819408093,1.039297102,0.835766362,-0.163222659,0.717330565,0.612573689,-0.15140874,-0.829628216,-0.824424547,0.652252871,0.338478064
88,전라북도 정읍시,0.25,-0.123664665,-0.634461367,0.305719215,0.305600915,0.497954735,-0.158816891,1.633027287,0.908058937,-0.341318817,-0.315979874,-0.173044748,-0.113571039,-0.409612268,-0.311727522,-0.397520238,-0.15140874,-0.087210687,-0.060526257,-0.33044157,-0.563598855
89,전라북도 남원시,0.23,-0.159414836,-0.913830768,0.54491393,0.339378784,0.212189229,-0.58552821,1.633027287,1.652133526,0.711260274,0.64837692,-0.430989822,-0.271793939,-1.397562835,-0.477319359,-0.629532684,-0.15140874,0.737263517,0.648353641,-0.036530675,-0.598372795
91,전라북도 완주군,0.36,0.162336707,-0.898970694,-0.730791213,-0.676403618,0.38733583,-0.443291104,1.013034785,1.480424005,-0.851382971,-0.840176527,-0.418092568,0.044651861,-0.301966323,-0.388984997,-0.126691403,-0.768399358,-0.829628216,-0.839357299,-0.171146352,-0.377455999
93,전라북도 무주군,0.16,-0.040348587,-0.940578902,-0.57132807,-0.599627178,-1.327257203,-0.727765316,-0.433614388,-0.980745789,-0.31059414,-0.321584601,-0.792112926,-0.90468554,-1.543482895,-0.809680904,-0.813797537,-0.768399358,-0.356825474,-0.355547479,-1.028199495,-1.007477974
94,전라북도 장수군,0.15,-0.0448931,-1.115927782,-0.730791213,-0.676403618,-1.391784898,-0.727765316,-0.433614388,-0.608708495,-0.821176126,-0.823224809,-0.843701941,-0.90468554,-1.514777309,-0.822820595,-0.839000167,-0.768399358,-0.84916552,-0.836348037,-1.701277879,-1.209985037
95,전라북도 임실군,0.15,-0.096094617,-1.068375543,-0.332133356,-0.378989004,-0.082794518,-0.58552821,0.806370617,-1.438637844,0.201541341,0.128272061,-0.779215672,-0.746462639,-1.710932144,-0.791256043,-0.751622613,-0.768399358,-0.16145244,-0.134622234,-1.909932178,-1.66204626
97,전라북도 고창군,0.16,0.005702481,-0.830614351,-0.651059641,-0.644413435,0.285935166,-0.58552821,1.013034785,0.135366094,-0.795284545,-0.784920114,-0.650243135,-0.113571039,-0.856940975,-0.633616374,-0.699933718,-0.15140874,-0.802275992,-0.809151123,-1.012494332,-1.103617691
98,전라북도 부안군,0.17,-0.118211249,-1.130787856,-0.252401784,-0.307763802,0.202970987,-0.158816891,0.806370617,-0.293907707,-0.279869464,-0.278259722,-0.572859613,-0.588239739,-0.706236652,-0.647311435,-0.701108877,-0.15140874,-0.145822597,-0.203267472,-1.158327982,-1.08929901
100,전라남도 여수시,0.43,-0.284540436,0.191758778,-0.491596498,-0.55578181,0.285935166,0.267894427,1.013034785,-0.837654522,-0.218074889,-0.238201401,0.665276744,0.993989262,0.243439802,0.723848535,0.958793462,1.082572495,-0.212249429,-0.225013647,1.049369117,0.549167231
102,전라남도 나주시,0.43,0.020244924,-0.408588234,-0.092938641,-0.304188429,1.558052578,-0.58552821,1.219698952,-0.06496168,-0.402422949,-0.407787356,-0.263325524,0.202874762,0.406104786,-0.242306259,-0.151622843,0.465581877,-0.411529923,-0.42907567,-0.296787651,0.397798315
103,전라남도 광양시,0.68,0.073870181,0.548400567,-0.651059641,-0.636133623,-0.562143108,-0.301053997,0.186378114,0.078129588,-0.69189083,-0.7004366,-0.314914539,-0.113571039,-0.160830527,-0.024357058,0.339069108,0.465581877,-0.696774553,-0.713876757,0.887830305,0.606441956
104,전라남도 담양군,0.21,0.147188329,-0.399672189,0.54491393,0.570084458,1.853036325,-0.58552821,0.806370617,-0.923509282,-0.052368768,-0.020751769,-0.676037643,0.044651861,-0.789961276,-0.673566404,-0.644339682,-0.768399358,0.260553314,0.281791477,-0.799352844,-0.86020011
107,전라남도 고흥군,0.11,-0.174866181,-0.955438977,-0.730791213,-0.676403618,0.470300009,-0.301053997,1.839691455,-0.06496168,-0.489936494,-0.466551022,-0.547065105,-0.746462639,-1.041135149,-0.575381852,-0.679196691,-0.15140874,-0.266953878,-0.29655459,-1.420828552,-1.138391631
110,전라남도 장흥군,0.16,-0.062465218,-1.288304647,-0.172670213,-0.254321378,-0.110449244,-0.443291104,0.186378114,0.650494656,-0.629751034,-0.639300381,-0.740523911,-0.746462639,-1.14399683,-0.735462708,-0.761982087,-0.15140874,-0.728034239,-0.722109643,-1.070827792,-1.019751129
111,전라남도 강진군,0.17,-0.001265772,-0.572049054,-0.411864927,-0.506949736,-0.26715936,-0.58552821,0.599706449,0.93667719,-0.365484293,-0.371201903,-0.779215672,-0.746462639,-1.313838211,-0.750555348,-0.791162176,-0.768399358,-0.388085159,-0.451843859,-1.420828552,-1.281578444
114,전라남도 무안군,0.49,-0.08700559,1.27654422,-0.491596498,-0.464233433,-0.174976939,-0.58552821,0.186378114,-0.608708495,-0.788380123,-0.781516016,-0.469681583,-0.271793939,0.20755782,-0.400055781,-0.565821015,-0.15140874,-0.720219317,-0.742663469,1.049369117,0.47961935
117,전라남도 장성군,0.21,0.182635533,-0.203519205,0.225987644,-0.144331602,-0.156540455,-0.443291104,0.599706449,-1.23831007,-0.016810996,0.174863499,-0.753421165,-0.588239739,-0.545963799,-0.689714858,-0.600117563,-0.768399358,0.725541135,0.690540086,-0.316980002,-0.682239357
118,전라남도 완도군,0.17,-0.151840647,-0.655265471,-0.172670213,-0.400817599,-1.281165992,-0.58552821,1.013034785,0.049511334,-0.065487169,-0.094988606,-0.676037643,-0.90468554,-0.770824219,-0.662550547,-0.749959311,-0.768399358,-0.192712125,-0.227511902,-1.313136011,-0.905201679
119,전라남도 진도군,0.17,-0.009142929,-1.237780393,-0.411864927,-0.52811971,-0.930872792,-0.443291104,-0.226950221,-0.780418015,-0.76525031,-0.74940059,-0.779215672,-0.746462639,-0.615335631,-0.772953242,-0.823234964,-0.768399358,-0.728034239,-0.671349641,-1.111212495,-1.146573735
