,시군구,소멸지수,1인당 자동차 등록대수,고등학교,대규모W,병상 비율,병원,보건지소,보육시설 비율,소규모C,요양병원,유치원,전규모W,종합병원,중학교
96,경상남도 사천시,0.31,-0.195770943,0.408715866,-0.013736384,0.977303325,-0.158816891,-0.020286053,1.308714485,-0.060481463,-0.113571039,-0.136909206,-0.168581284,-0.768399358,0.629816925
97,경상남도 밀양시,0.21,-0.04368123,0.245255046,0.964786864,0.313589893,0.267894427,0.393042282,0.650494656,1.397041961,-0.271793939,0.255400462,-0.391771001,-0.768399358,0.16539284
98,경상남도 거제시,0.66,-0.45753491,1.615353919,-0.428573788,-0.663543771,0.125657321,0.599706449,0.392930375,-0.026822408,-0.588239739,1.006529949,0.46811959,1.082572495,1.114433361
99,경상남도 의령군,0.13,0.009035124,-1.222920319,0.165973174,0.138443293,-0.58552821,0.806370617,-1.553110858,0.494461432,-0.746462639,-0.404828004,-0.801449333,-0.768399358,-1.333328362
100,경상남도 고성군,0.16,-0.160626706,-0.135162862,-0.07621133,0.212189229,-0.443291104,1.219698952,0.450166882,0.320642615,-0.588239739,-1.452581874,-0.672507327,-0.768399358,-0.518903517
101,경상남도 남해군,0.12,-0.319078737,-0.875194574,-0.073294578,-0.884781582,-0.58552821,0.393042282,-0.751799762,-0.319569888,-0.746462639,-0.706236652,-0.745168281,-0.768399358,-0.658006383
102,경상남도 하동군,0.13,-0.100336163,-1.576590093,-0.260248971,-0.340905297,-0.727765316,1.013034785,-0.379762467,0.102462889,-0.588239739,-1.28991689,-0.753737898,-0.768399358,-0.99678917
103,경상남도 산청군,0.12,0.104772872,-0.869250545,0.50083512,-0.940091034,-0.727765316,0.393042282,-0.408380721,1.428284469,-0.746462639,-1.081801395,-0.768743768,-0.768399358,-0.886853034
104,경상남도 함양군,0.15,-0.193347202,-1.02973935,0.717615655,-1.161328845,-0.58552821,0.599706449,-0.952127536,0.91977381,-0.90468554,-0.40004374,-0.782719114,-0.768399358,-0.678198735
105,경상남도 거창군,0.23,-0.107304417,-0.102470698,1.389221323,-0.294814087,-0.301053997,0.806370617,-0.007725173,1.273970644,-0.430016839,-0.093850828,-0.664787439,-0.768399358,0.16539284
106,경상남도 합천군,0.11,-0.067615667,-1.692498674,1.999104755,0.202970987,-0.58552821,1.839691455,-0.637326748,-0.493216095,-0.588239739,-0.950234128,-0.755328882,-0.768399358,-1.474674823
