,병원,보건지소,약국,요양병원,종합병원,병상 비율,1인당 자동차 등록대수,소규모C,중규모C,대규모C,소규모W,중규모W,대규모W,전규모W,보육시설 비율,유치원,초등학교,중학교,고등학교,소멸지수
95,-0.2,0.375,-0.3314917127071823,-0.375,-0.5,0.0677966101694916,0.13509060928554906,-0.4059959349593496,-0.38436482084690554,0.0,-0.41332362454066685,-0.34690015182080985,0.01992803764184888,-0.30363036303630364,-1.1627906976744184,-1.1330472103004288,-1.0078740157480317,-1.2036434612882243,-0.7523910733262482,-0.4788732394366198
96,-0.2,0.25,-0.3425414364640884,-0.25,-0.5,0.9322033898305085,0.08055071637448533,-0.4312330623306233,-0.40716612377850164,-0.2857142857142857,-0.4414678339796454,-0.3933614791090406,-0.2593412676446167,-0.367169726681406,-0.6511627906976745,-0.8898426323319023,-0.9658792650918637,-0.6584255042290177,-0.20828905419766208,-0.4225352112676056
97,-0.2,0.5,-0.22099447513812154,0.125,0.0,0.40677966101694923,0.46311398715285784,-0.2684620596205962,-0.3257328990228013,-0.14285714285714285,-0.2995275430545442,-0.31499698438117424,-0.15554940492665376,-0.25782626806369957,0.11627906976744184,-0.6223175965665234,-0.7212598425196852,-0.6831489915419652,-0.5823591923485656,-0.4507042253521127
98,0.4,0.375,-0.15469613259668508,-0.25,0.0,0.3305084745762714,0.028060595542424346,-0.2747289972899729,-0.2996742671009772,-0.14285714285714285,-0.2993920715289655,-0.3142066842751076,-0.16772765015222807,-0.25886763433624915,-0.2325581395348837,-0.5321888412017164,-0.7139107611548557,-0.7677293428757321,-0.7970244420828902,-0.4225352112676056
99,3.0,-0.875,0.861878453038674,0.75,2.0,1.6271186440677967,-1.2415357905494224,0.6443089430894309,0.2671009771986971,0.0,0.5668805987841431,0.21758209762286046,-0.04359258234154442,0.3701175942837002,1.3488372093023255,0.09442060085836909,0.3695538057742783,0.7443070917371503,0.29755579171094537,0.5633802816901409
100,1.0,0.5,0.9060773480662984,1.0,1.0,0.40677966101694923,-0.6692748071411874,1.087059620596206,1.3452768729641693,1.0,1.1009093526154472,1.3792816587983279,1.181843343481871,1.212054215130251,-0.6744186046511628,0.03576537911301859,0.12703412073490827,0.5126870527000649,0.14877789585547269,0.30985915492957744
101,3.0,0.125,0.9281767955801105,0.375,2.5,0.6440677966101697,-0.46095301214446577,1.0047425474254743,0.6970684039087948,0.0,0.9882986469781383,0.6544932720504129,-0.05231109880985331,0.7367426062994649,-0.04651162790697657,0.11158798283261816,0.3223097112860894,0.6662329212752113,0.33368756641870345,0.8169014084507042
102,-0.2,0.625,0.11049723756906077,0.375,0.5,1.576271186440678,0.37892363116611705,0.13177506775067752,0.08794788273615635,0.8571428571428571,0.16967808578734359,0.10972693051598278,0.7111818433434819,0.22805921368835913,-0.04651162790697657,0.13304721030042935,0.049343832020997645,-0.2680546519193237,-0.2805526036131774,0.30985915492957744
103,0.2,0.0,0.06629834254143646,0.125,0.5,-0.3728813559322033,0.6184045992091285,0.3817750677506775,0.6286644951140065,0.7142857142857143,0.42382266777301747,0.7460848948692885,1.3115139773041793,0.6628857060463328,0.06976744186046527,-0.20600858369098698,0.15643044619422597,0.4189980481457384,0.4038257173219974,1.0140845070422537
104,-0.2,0.375,-0.2430939226519337,0.25,-0.5,1.8474576271186443,0.9983161033287037,-0.23001355013550134,-0.18892508143322476,-0.2857142857142857,-0.22728735203969316,-0.24461868019882288,-0.2593412676446167,-0.20856163286231535,-0.744186046511628,-0.5822603719599424,-0.5963254593175853,-0.5595315549772285,-0.27417640807651406,-0.3098591549295775
105,-0.2,0.0,-0.32044198895027626,-0.375,-0.5,-0.45762711864406774,0.3101299590710782,-0.4173441734417344,-0.3550488599348534,-0.14285714285714285,-0.42158738760096864,-0.3597945219724227,-0.0077497924162745644,-0.31571021179787884,1.697674418604651,-1.0386266094420595,-0.7181102362204724,-0.25374105400130165,-0.9054197662061633,-0.4788732394366198
106,-0.2,-0.125,-0.36464088397790057,-0.125,-0.5,0.8559322033898307,0.011734305665311242,-0.4380081300813008,-0.3941368078175896,-0.2857142857142857,-0.4506798977189982,-0.3798431878210594,-0.2593412676446167,-0.3663206126437886,-0.13953488372093054,-0.952789699570815,-0.720209973753281,-0.8015614834092392,-1.0563230605738574,-0.4788732394366198
107,0.2,1.0,-0.13259668508287292,-0.375,0.0,0.5762711864406781,-0.233698719675735,-0.2342479674796748,-0.2768729641693811,-0.2857142857142857,-0.24530506494166257,-0.3026849406235052,-0.2593412676446167,-0.23945015860809382,-0.04651162790697657,-0.7324749642346206,-0.7391076115485566,-0.9199739752765129,-0.6716259298618489,-0.591549295774648
108,0.0,0.25,-0.1878453038674033,-0.125,-0.5,1.4406779661016953,0.3150376066866247,-0.3643292682926829,-0.3778501628664495,-0.2857142857142857,-0.37986215772272364,-0.33525362394193375,-0.2593412676446167,-0.31564612771956807,0.06976744186046527,-1.1216022889842627,-0.8839895013123361,-0.7820429407937544,-0.6609989373007435,-0.5633802816901409
109,0.2,0.5,-0.12154696132596685,1.0,-0.5,4.516949152542373,0.09002274621315838,-0.1947831978319783,-0.14006514657980457,0.0,-0.19643371208914026,-0.16667013289520205,0.07805148076390811,-0.12488384760806177,1.2790697674418603,-0.6494992846924175,-0.38635170603674535,-0.23162003903708542,0.3145589798087141,-0.11267605633802812
110,0.0,0.0,-0.2983425414364641,-0.375,0.0,0.04237288135593221,0.23928002650071425,-0.3445121951219512,-0.34527687296416937,-0.2857142857142857,-0.37427395729260154,-0.33475448703283905,-0.2593412676446167,-0.3128104072543177,0.5348837209302326,-0.7939914163090125,-0.678215223097113,-0.716981132075472,-0.9096705632306056,-0.4507042253521127
111,-0.2,0.25,-0.3314917127071823,-0.375,-0.5,-0.10169491525423724,0.45535632022117944,-0.36974932249322495,-0.38436482084690554,-0.2857142857142857,-0.4001151507967419,-0.3701516128361375,-0.2593412676446167,-0.33866833285270276,0.7674418604651163,-0.8955650929899853,-0.8125984251968505,-0.9199739752765129,-0.3974495217853348,-0.4225352112676056
112,-0.2,0.625,-0.11049723756906077,-0.375,0.5,0.4830508474576271,15.606705845279325,-0.18868563685636858,-0.2964169381107492,-0.2857142857142857,-0.20943897854469715,-0.2720296154566063,-0.2593412676446167,-0.2106764074465699,-1.0930232558139537,-0.3834048640915592,-0.5396325459317586,-0.18347430058555633,-0.6971307120085015,-0.4225352112676056
113,0.0,0.25,-0.22099447513812154,-0.375,-0.5,-0.4491525423728813,1.5257044016403825,-0.10772357723577236,0.05211726384364821,-0.14285714285714285,-0.08615989026806428,0.02395857163654514,0.2258510932742873,0.017815373770386746,1.813953488372093,-0.6938483547925606,-0.4356955380577428,-0.5126870527000653,-0.6291179596174282,-0.1971830985915493
114,-0.2,0.0,-0.06629834254143646,0.0,0.0,-0.016949152542372822,0.04688950079856869,-0.08756775067750677,-0.1498371335504886,-0.2857142857142857,-0.12026484683250639,-0.1954120999105713,-0.2593412676446167,-0.13898234483642538,-0.48837209302325607,0.014306151645207639,0.09133858267716549,0.5126870527000649,0.9245483528161522,0.4788732394366197
115,0.0,0.0,-0.32044198895027626,-0.375,-0.5,-0.3983050847457627,3.95956409199891,-0.37296747967479676,-0.3517915309446254,-0.2857142857142857,-0.3844004538296107,-0.3588378428966579,-0.2593412676446167,-0.32687686244352593,0.8837209302325582,-1.3361945636623744,-0.8188976377952758,-0.8510084580351336,-0.4590860786397448,-0.5070422535211268
116,-0.4,0.0,-0.1878453038674033,-0.375,0.5,0.652542372881356,0.0,-0.23340108401084012,-0.3355048859934853,-0.14285714285714285,-0.25800552046466735,-0.30617889898716805,-0.014254082479933573,-0.21843058092216988,-2.395348837209302,-0.48211731044349043,-0.32650918635170606,-0.27976577748861453,-0.7353878852284802,-0.16901408450704225
117,0.0,0.25,-0.30939226519337015,-0.25,-0.5,0.0,1.176435535765881,-0.23814363143631437,-0.16938110749185667,-0.2857142857142857,-0.18708617682420875,-0.19225089948630494,-0.2593412676446167,-0.1693742189752956,-1.0,-0.4363376251788266,-0.50498687664042,-0.27976577748861453,-0.13390010626992535,-0.3098591549295775
118,-0.2,0.5,-0.2430939226519337,-0.5,-0.5,-1.033898305084746,-0.08947608420956471,-0.2774390243902439,-0.3811074918566775,-0.2857142857142857,-0.3130069598496266,-0.38233887236653286,-0.2593412676446167,-0.3021564292351565,0.04651162790697657,-0.5708154506437765,-0.6194225721784777,-0.857514638906962,-0.45696068012752417,-0.4225352112676056
119,0.0,-0.25,-0.3314917127071823,-0.375,-0.5,-0.711864406779661,0.455413874050172,-0.3790650406504065,-0.4169381107491857,-0.2857142857142857,-0.427040116505512,-0.4108728656697793,-0.2593412676446167,-0.3670896215835176,-0.6279069767441862,-0.47782546494992834,-0.7433070866141733,-0.7404033832140536,-0.8735387885228479,-0.4225352112676056
120,0.0,1.0,-0.36464088397790057,-0.25,-0.5,-0.4322033898305085,31.146351437381433,-0.3821138211382114,-0.3811074918566775,-0.2857142857142857,-0.39659289113169527,-0.37930245616954017,-0.2593412676446167,-0.3405267711237143,0.3720930232558134,-1.0472103004291842,-1.1296587926509187,-1.5276512687052706,-1.5451647183846968,-0.5633802816901409
121,1.6,0.75,2.0,3.0,2.0,0.43220338983050866,-0.18854851826948274,2.1587059620596207,2.224755700325733,1.1428571428571428,2.131813794388092,2.4032610278060855,1.9950179905895378,2.188263001057387,0.1860465116279071,0.430615164520744,0.47454068241469827,0.2342225113858162,0.180658873538788,0.3380281690140845
122,1.6,0.5,0.7403314917127072,0.875,0.0,0.07627118644067815,0.2924035434126023,0.9859417344173442,1.1368078175895766,0.8571428571428571,1.0853301271738947,0.9958197283863319,0.967478549681705,1.0321702073119934,-0.16279069767441842,0.3104434907010016,0.17637795275590554,0.25894599869876367,-0.1445270988310307,0.028169014084507067
123,-0.4,0.875,0.08839779005524862,-0.125,0.5,-0.033898305084745645,-0.06995306083666594,0.12974254742547425,0.16612377850162866,0.42857142857142855,0.1478333022877754,0.20302393777426533,0.4251314696927761,0.22054535550642443,-0.30232558139534893,0.391988555078684,0.0902887139107615,0.0286271958360441,0.13177470775770472,0.056338028169014134
